module,distance,message_size,average_elapsed,best_elapsed,worst_elapsed,failed_attempts,success_rate,std_deviation
BLE,1,16,2373.3351945877075,3678.571939468384,2192.530393600464,0,100.0,458.968
BLE,1,32,2324.6803760528564,2335.751533508301,2295.515537261963,0,100.0,12.231
BLE,1,64,2489.8629426956177,2525.763750076294,2466.003894805908,0,100.0,20.02
BLE,1,128,2905.0254821777344,2938.8365745544434,2878.7357807159424,0,100.0,17.58
BLE,1,255,3685.5939149856567,3754.6491622924805,3653.514623641968,0,100.0,28.79
BLE,4,16,2210.752058029175,2233.4556579589844,2190.699338912964,0,100.0,13.754
BLE,4,32,2289.3938541412354,2312.635898590088,2277.6458263397217,0,100.0,10.813
BLE,4,64,2452.1183252334595,2478.3332347869873,2433.340311050415,0,100.0,13.865
BLE,4,128,2835.8962774276733,2847.0566272735596,2820.96004486084,0,100.0,8.958
BLE,4,255,3574.673056602478,3593.2273864746094,3563.1136894226074,0,100.0,7.764
BLE,8,16,2221.5233087539673,2247.737169265747,2191.2577152252197,0,100.0,17.296
BLE,8,32,2297.856545448303,2346.1756706237793,2282.278060913086,0,100.0,18.417
BLE,8,64,2471.3560819625854,2511.2781524658203,2433.475971221924,0,100.0,26.843
BLE,8,128,2973.4495401382446,3127.2356510162354,2840.956687927246,0,100.0,89.264
BLE,8,255,3671.9517946243286,3866.1043643951416,3592.2420024871826,0,100.0,80.833
BLE,16,16,2303.026866912842,2376.4548301696777,2231.912851333618,0,100.0,47.044
BLE,16,32,2365.074563026428,2470.0698852539062,2315.851926803589,0,100.0,46.775
BLE,16,64,2533.7287187576294,2585.8328342437744,2476.349353790283,0,100.0,29.678
BLE,16,128,2930.2629709243774,3023.5726833343506,2840.9950733184814,0,100.0,63.795
BLE,16,255,3676.6714811325073,3745.900869369507,3639.4388675689697,0,100.0,38.101
BLE,20,16,2700.02121925354,2883.413076400757,2395.4031467437744,0,100.0,152.724
BLE,20,32,3008.766770362854,3145.1668739318848,2738.2636070251465,0,100.0,129.871
BLE,20,64,3338.9408588409424,3822.3400115966797,2887.6447677612305,0,100.0,315.584
BLE,20,128,4547.7182149887085,5186.610698699951,3552.274703979492,0,100.0,522.388
BLE,20,255,7277.316927909851,8760.478973388672,5928.68447303772,0,100.0,761.549
BLUETOOTH,1,16,4382.538318634033,4551.872968673706,4292.641401290894,1,75.0,146.741
BLUETOOTH,1,32,4407.725811004639,4425.705194473267,4398.010015487671,0,100.0,12.72
BLUETOOTH,1,64,4601.463437080383,4608.955383300781,4592.6079750061035,0,100.0,7.499
BLUETOOTH,1,128,5015.248417854309,5020.029783248901,5012.082576751709,0,100.0,3.465
BLUETOOTH,1,255,5847.142696380615,5850.48770904541,5843.146085739136,0,100.0,3.398
BLUETOOTH,4,16,4305.386710166931,4344.833850860596,4280.219316482544,0,100.0,20.394
BLUETOOTH,4,32,4401.2675523757935,4422.461032867432,4386.932849884033,0,100.0,9.477
BLUETOOTH,4,64,4607.270669937134,4622.1888065338135,4596.9438552856445,0,100.0,8.156
BLUETOOTH,4,128,5021.244311332703,5037.619590759277,5013.838052749634,0,100.0,7.679
